Expression,Definition + Context,Example Sentence
"""However, I still tend to think it's large numbers""","Meaning: ""I believe it affects a significant proportion of people"". Stress falls on ""large numbers"" — the content. ""However"", ""still"", ""tend to think"" are hedging phrases that carry moderate stress.","""Studies vary on the exact prevalence, however, I still tend to think it's large numbers who experience this.""""However, I still tend to think it's large numbersbased on what I've seen in clinic."""
"""Many patients report feeling as if the missing limb is still attached""","Meaning: phantom limb sensation — a key clinical concept. Key stressed words: ""missing limb"", ""still attached"", ""body"". ""Amputation"" = am-pyoo-TAY-shun (see Word 37).","""Many patients report feeling as if the missing limb is still attached to their body, even years after the amputation.""""Many patients reportphantom sensationseven years after the amputation, which can still be distressing."""
"""Telescoping"" — the sensation that the limb has shrunk","⚠️ Stress on the FIRST syllable (""TEL""). In phantom limb contexts, ""telescoping"" describes the perception that the missing limb has become shorter or shrunk inward — a recognized clinical phenomenon.","""Some patients experience what we calltelescoping— the sensation that the missing limb is still present but has somehow become smaller."""
CONJUNCTIVITIS,"⚠️ Stress on the 5th syllable (""VY"" — rhymes with ""eye""). The ""-itis"" suffix always attracts stress to the syllable immediately before it. Common error: stressing ""JUNK"" (2nd syllable) instead. Also note: the ""c"" before ""t"" is silent — it's con-JUNK-ti-VY-tis, not con-JUNK-tiv-IT-is.","The patient presented withconjunctivitis, with redness and discharge in both eyes."
MISDIAGNOSIS,"⚠️ CORRECTION: Primary stress falls on the 4th syllable ""NOH"" — NOT on ""AG"" as is commonly assumed. Cambridge IPA /ˌmɪsdaɪəɡˈnəʊsɪs/ confirms the ˈ stress mark is on ""nəʊ"". The ""mis-"" prefix carries secondary stress only. Think of the root: ""gnosis"" (knowledge) → the stress stays on ""gnoh"" = NOH.",Misdiagnosisis less likely when pharmacists carefully assess symptoms before referring patients.
ESCALATE,"⚠️ Stress on the FIRST syllable (""ES""). The middle syllable reduces to schwa — ""ES-kuh-layt"", not ""es-KUH-layt"" or ""es-kuh-LAYT"". As a clinical verb, it means to intensify or refer to a higher level of care.","If symptomsescalateor do not improve within 48 hours, please contact your GP immediately."
SCHEME,"⚠️ The ""sch"" in ""scheme"" makes a ""sk"" sound — NOT an ""sh"" sound. This is a key distinction in British English: ""school"" and ""scheme"" = SK sound; BUT ""schedule"" in British RP = SHED-yool (SH sound!). Don't say ""sheem"". The vowel is a long ""ee"" (like ""cream"", ""dream"").",The new fundedschemeallows pharmacists to treat minor conditions without a GP referral.
EXPIRE,"⚠️ Stress on the 2nd syllable (""SPYR"" — rhymes with ""fire""). The first syllable reduces to a very brief ""ik"" — NOT ""ex"" with a clear ""e"". In British RP, the final ""r"" is not pronounced unless followed by a vowel: ""ik-SPYR-uh"" (before a vowel) vs ""ik-SPYR"" (at end of phrase).",Please check when your prescriptionexpiresbefore collecting your repeat medication.
TRIAGE,"⚠️ Stress on the FIRST syllable (""TREE""). The second syllable ""-age"" ends with a French ""zh"" sound (like the ""s"" in ""measure"" or ""vision"") — NOT a standard English ""age"" as in ""cage"". The word is borrowed from French (""trier"" = to sort), and the ending retains the French /ʒ/ sound. This is one of the few English words with this ending sound.",The nurse performedtriageto assess which patients needed urgent attention first.
TANTRUMS,"⚠️ Stress on the FIRST syllable. The vowel in ""TAN-"" is a short /æ/ — like ""cat"", ""bad"". Don't say ""TEN-trumz"" or ""TON-trumz"". The plural ""-trums"" = ""trumz"" (voiced z at end).",The parents reported frequenttantrumswhenever the child's routine was disrupted.
CALF (body part),"⚠️ The ""L"" in ""calf"" is completely SILENT in British RP. It is pronounced ""KAHF"" — NOT ""kalf"". This silent ""L"" rule applies consistently to many English words with ""-alf"", ""-alm"", ""-alk"", ""-alve"". Deep vein thrombosis (DVT) often presents as pain or swelling ""in the calf"".",She presented with sudden swelling and pain in hercalffollowing a long-haul flight.
BOWEL (HABITS),"⚠️ ""Bowel"" rhymes with ""OWL"", ""FOWL"", ""TOWEL"" — the ""ow"" is a diphthong ""ow"" sound (as in ""cow""). Do NOT say ""BOHL"" (which would rhyme with ""bowl"", the dish). This is a very common mistake. ""Bowel habits"" = the frequency, consistency, and regularity of a patient's stools.",The doctor asked about any changes in herbowel habitsover the past few weeks.
"""Put it down to that cold snap""","Meaning: ""put it down to X"" = attribute or blame something to X. A ""cold snap"" = a brief, sudden period of cold weather. Together: ""I blamed it on that brief cold spell."" Common in clinical history-taking when patients describe a trigger they noticed.","""I thought the rash was just irritation, so I put it down to that cold snap we had last month.""""She hadput it down to that cold snap, but the rash had persisted for several weeks."""
"""Pin down what sets it off""","Meaning: ""pin down"" = identify precisely or with certainty. ""Set off"" = trigger. Together: ""identify exactly what triggers it."" Both are useful OET Speaking/Listening phrasal verbs in patient history-taking.","""We've been trying to pin down what sets off his eczema, but it doesn't seem consistent.""""The doctor asked whether she had managed topin down what sets offhis allergic reaction."""
"""We've well, kind of given in""","Meaning: ""given in"" = surrendered, stopped resisting, accepted defeat. The ""well, kind of"" = hesitation/hedging language, showing the speaker is slightly embarrassed by the admission. Common in consultations when patients describe not following medical advice.","""We kept trying to limit his screen time, but we've well, kind of given in — it's the only thing that calms him down.""""They had tried to restrict his diet, but eventually justgiven inbecause he refused to eat anything else."""
"""They weren't very practical""","""Practical"" = PRAK-ti-kul (stress on 1st syllable). Meaning: not workable in real-life conditions. Common patient complaint about medical advice that is theoretically correct but difficult to follow daily.","""The doctor suggested cotton-only clothing, but to be honest, they weren't very practical for an active 6-year-old.""""The previous treatment regimenwasn't very practicalfor someone working long shifts."""
"""Alluded to the fact that...""","""Allude to"" = to hint at or reference indirectly without stating clearly. /əˈluːd/ — stress on 2nd syllable ""LYOOD"". Often used when professionals mention a concern without being explicit: ""the teacher alluded to behavioural issues without naming them directly.""","""His teachers have alluded to the fact that he struggles socially, but they haven't said anything more specific.""""His teachers havealluded to the fact thathe finds it hard to concentrate in group settings."""
"""Sum him up"" / ""That's definitely how I'd sum him up""","Meaning: ""sum up"" = describe someone or something briefly and accurately. The stress falls on ""up"" (the particle). Useful clinical communication expression when a parent or patient summarises their view of a person or situation.","""Anxious, sensitive, and very particular about routine — that's definitely how I'd sum him up.""""'That's definitely how I'd sum him uptoo,' the mother agreed — very anxious and easily overwhelmed."""
"""All hell broke loose""","Meaning: complete chaos suddenly erupted. A very informal British idiom expressing extreme disruption. Patients often use this to describe a child's extreme reaction to a change in routine. ""Loose"" = LOOS (not LOWZ) — rhymes with ""goose"", ""juice"".","""All hell broke loose because he had to go to the childminder on a different day — he just couldn't handle the change.""""All hell broke loosethe moment we tried to introduce a new food into his diet."""
"""He finds it hard to cope with change — is that a fair assessment?""","""Cope with"" = manage or deal with (stress on ""cope""). ""Fair assessment"" = an accurate, balanced evaluation. ""Assessment"" = uh-SES-munt (stress on 2nd syllable ""SES""). Asking ""is that a fair assessment?"" is a polite way of checking if your summary is accurate — common in OET consultations.","""He finds it hard to cope with change — is that a fair assessment of what you've been experiencing at home?""""'He finds it hard to cope with change— is that a fair assessment?' the pharmacist asked gently."""
